time,p0y,p0z,p1y,p1z,p2y,p2z,p3y,p3z,p4y,p4z,p5y,p5z,p6y,p6z,p7y,p7z
0.0,1.6532731788489269e-15,27.0,-17.677669529663685,19.67766952966369,-25.0,2.000000000000003,-17.677669529663692,-15.677669529663685,-4.469960816887839e-15,-23.0,17.677669529663685,-15.677669529663692,25.0,1.9999999999999938,17.677669529663692,19.677669529663685
0.0001,-0.3499541718955219,26.996250531206563,-17.95351774112734,19.4975124253097,-25.098708348957988,1.7475046874357743,-17.599970243061126,-15.85605888179605,0.15003749481280004,-23.0012494896267,17.753601064044624,-15.502511383729837,24.898791671875276,2.2474963541440878,17.400053565978414,19.851059923375914
0.0002,-0.6996335006269823,26.98500849722049,-18.227330767739602,19.310612623324733,-25.194666999958095,1.4900416632227271,-17.520271126062337,-16.037655603889892,0.3002998340396553,-23.00499183610839,17.82799710115228,-15.330595962212637,24.795333333370785,2.4899749978893615,17.120937459475037,20.017672265001988
0.00030000000000000003,-1.0487637700095889,26.966292999596774,-18.498841979882663,19.1170067908942,-25.287627108671884,1.227654650809701,-17.43834089996931,-16.22242355906338,0.45101124011519506,-23.0112086878526,17.90108944998827,-15.161922479150023,24.68987457877749,2.7274296609344764,16.84058837007491,20.177507870807553
0.0004,-1.3970720162559753,26.940135822206933,-18.7677861756102,18.91674420077736,-25.37734132811457,0.9603998010166316,-17.353949706684997,-16.410314358337594,0.6023946930757279,-23.019869510841964,17.973108852429952,-14.996477889412395,24.582664004934326,2.959866510348332,16.559272383504755,20.33058066970256
0.0005,-1.7442871502760038,26.906581353295454,-19.033900202170987,18.709886651614895,-25.46356442838321,0.6883456116543387,-17.26686972670265,-16.601267440240647,0.7546713132579037,-23.030931666452876,18.04428436515289,-14.834236964772316,24.47394859136512,3.1873040751882376,16.27725388968456,20.476917127083222
0.0006000000000000001,-2.0901405753087943,26.86568647663132,-19.296923572847312,18.496508357339383,-25.54605391170279,0.411572816265098,-17.17687579241085,-16.79521018127342,0.908059748663422,-23.04434052012889,18.114842746201948,-14.67516240083697,24.363973085057424,3.4097731402373115,15.994794965765502,20.616556137775838
0.0007,-2.434366798349223,26.81752043202675,-19.55659907757045,18.276695805961072,-25.624570621242892,0.13017424225644536,-17.083745995177217,-16.992058036964792,1.0627755685274194,-23.060029580637238,18.185007847748654,-14.519204954571547,24.252979391421093,3.6273166091330786,15.71215476535541,20.74954888835431
0.0008,-2.7767040338466176,26.762164645571254,-19.81267338579113,18.050547588077116,-25.69887934218278,-0.15574536122354554,-16.98726228468865,-17.19171471316806,1.2190306646120133,-23.07792066955971,18.255000016556533,-14.36630361206558,24.141205972948182,3.8399893372350826,15.429588915454055,20.875958689179598
0.0009000000000000001,-3.116894798172738,26.699712530005215,-20.064897640101922,17.818174195528705,-25.768749393522317,-0.4460695252449163,-16.88721105904581,-17.394072367174108,1.3770326617278077,-23.097924120594502,18.325035503657002,-14.216385786117996,24.028887257077397,4.047857934655621,15.147348922600894,20.995860776584816
0.001,-3.4546864933791106,26.630269255731392,-20.313028039132064,17.579697790704703,-25.833955209159054,-0.7406702923899577,-16.783383744132372,-17.599011838142914,1.5369843389622848,-23.119939008169904,18.395325884715255,-14.069367543143223,23.916253054742246,4.251000539951435,14.865681589715562,21.109342085704405
0.0011,-3.7898319787906884,26.553951493036433,-20.556826408261408,17.335251947063956,-25.894276906778742,-1.039408476810352,-16.675577360806255,-17.80640290628109,1.6990830630680551,-23.14385340479841,18.466077492538783,-13.925153858825924,23.803527991056104,4.449506565048384,14.584828445083621,21.216500994519112
0.0012000000000000001,-4.122090129013055,26.470887126166016,-20.79606075673105,17.08498136152011,-25.949500843136732,-1.3421339524036269,-16.563595078490827,-18.01610458012162,1.863520235432911,-23.169544666527305,18.537490863150904,-13.783638901881398,23.690930949556588,4.643476412042337,14.305025184910688,21.317447039760328
0.0013000000000000002,-4.4512263769644465,26.381214939967812,-21.030505819761867,16.829041539403388,-25.99942015434178,-1.6486859683942545,-16.44724675377736,-18.227965411191676,2.030480754020285,-23.19687974577159,18.609760196817703,-13.644706345207169,23.57867453139762,4.833021162590473,14.026501130833203,21.412300605387895
0.0014,-4.777013240581291,26.285084279884906,-21.259943584329882,16.5675984527819,-26.043835279791317,-1.9588934915369367,-16.326349452688316,-18.441823835285515,2.200142491630518,-23.225715530746953,18.683072835379104,-13.50822970364396,23.46696453084055,5.018262240674876,13.749478703737553,21.501192584423464
0.0015,-5.099230831886644,26.182654686148705,-21.484163797287753,16.300828172991952,-26.082554468447732,-2.2725755740923335,-16.200727955290972,-18.65750853949345,2.3726757917933154,-23.255899210653418,18.757608757194422,-13.374072697496663,23.35599942835439,5.199331049587625,13.474172915197636,21.584264014988733
0.0016,-5.41766734715519,26.074095503085008,-21.702964454566356,16.028916478290995,-26.115394266189725,-2.5895417466618174,-16.07021524139571,-18.874838854072976,2.5482429835571025,-23.28726866569635,18.83354009096826,-13.242089640902334,23.245969902591632,5.376368584050478,13.200790877797624,21.661665691461636
0.0017000000000000001,-5.732119536955483,25.959585464508987,-21.91615227023697,15.752058437609238,-26.142179983019606,-2.9095924349049307,-15.93465295611986,-19.093625168186417,2.726997916394307,-23.319652880969052,18.911030649675798,-13.112125854069312,23.137058362458433,5.549525018444856,12.929531335558691,21.733557751726348
0.0018000000000000002,-6.042393154900569,25.839312256244366,-22.123543124265723,15.470457971435323,-26.162746138958006,-3.2325193991042775,-15.793891854148974,-19.313669368469423,2.909085516390626,-23.35287238316171,18.990235485755786,-12.984018098352683,23.029438500448077,5.71895927218692,12.660584215639044,21.800109241552082
0.0019,-6.348303383991261,25.713472056859523,-22.324962487844054,15.184327390928996,-26.176936887510504,-3.5581061954847444,-15.647792221579971,-19.534765299337543,3.0946413648337723,-23.38673969900399,19.071300468686562,-12.857595033073457,22.92327486835301,5.884838553340286,12.394130202422476,21.861497657193077
